year,region,population,cases,incidence_per_100k
2004,银川市,1377924.0531876546,7,0.5080105818463926
2004,兴庆区,409391.9908866804,0,0.0
2004,金凤区,172221.0004305525,0,0.0
2004,西夏区,210895.00661060557,0,0.0
2004,永宁县,204029.00892760494,0,0.0
2004,贺兰县,178355.989285216,6,3.364058602150538
2004,灵武市,233055.00855132606,1,0.4290832478632479
2005,银川市,1518224.0214518444,23,1.5149279470631483
2005,兴庆区,409392.00644282525,0,0.0
2005,西夏区,210895.00095200745,1,0.47416960832920174
2005,金凤区,137931.9957248322,0,0.0
2005,永宁县,205496.9790206266,1,0.4866251585623678
2005,贺兰县,190539.00864749606,21,11.021365204460965
2005,灵武市,270590.00262891053,0,0.0
2006,银川市,1530749.9311354791,2,0.13065491360280124
2006,兴庆区,430812.0166694392,1,0.23211980198019802
2006,西夏区,220699.00952511525,1,0.4531057942451714
2006,金凤区,149132.00558395783,0,0.0
2006,永宁县,207514.9950610058,0,0.0
2006,贺兰县,192163.01311604568,0,0.0
2006,灵武市,273864.00490072434,0,0.0
2007,银川市,1546900.9749813727,14,0.9050353077816492
2007,兴庆区,455499.00678673625,8,1.75631557496361
2007,西夏区,222281.9945177681,2,0.8997579872984856
2007,金凤区,150581.00147998394,0,0.0
2007,永宁县,210105.00075037498,3,1.4278574947220268
2007,贺兰县,194289.9937120693,1,0.5146945454545454
2007,灵武市,277821.0026245797,0,0.0
2008,银川市,1557759.0709020009,17,1.0913112507286742
2008,兴庆区,439850.99365114246,2,0.4546994388709403
2008,西夏区,251336.00349497818,9,3.58086381371932
2008,金凤区,178039.99833341103,0,0.0
2008,永宁县,211962.98617107546,2,0.9435609660574412
2008,贺兰县,195766.00923903295,3,1.5324417204301075
2008,灵武市,280803.01762773143,1,0.3561215290519878
2009,银川市,1572639.9733534832,15,0.9538101697882024
2009,兴庆区,421304.98789734807,4,0.9494309621073391
2009,西夏区,266097.9975061296,1,0.37580139999999995
2009,金凤区,188475.00412915653,0,0.0
2009,永宁县,214412.00617569342,7,3.264742550967068
2009,贺兰县,197799.99124218893,3,1.5166835858585859
2009,灵武市,284549.97984366346,0,0.0
2010,银川市,1586636.0084039764,21,1.3235549860691898
2010,兴庆区,481931.99613721325,8,1.6599852394366197
2010,西夏区,235833.99703066342,4,1.6961083009079114
2010,金凤区,164059.00294598337,2,1.2190736040609136
2010,永宁县,216809.00042420294,4,1.8449418576598309
2010,贺兰县,199787.99944035648,2,1.0010611275964392
2010,灵武市,288214.01250359695,1,0.34696439333862017
2011,银川市,1993083.9529617853,31,1.555378535557071
2011,兴庆区,678304.9847881953,6,0.8845578514911747
2011,西夏区,329307.986115915,2,0.6073341930116474
2011,金凤区,282553.99698760215,3,1.0617439611486486
2011,永宁县,218262.9895837547,11,5.039791684782608
2011,贺兰县,222979.98337509783,3,1.3454122448979593
2011,灵武市,261673.99021087258,6,2.2929294559099436
2012,银川市,2025707.9225006741,58,2.8631965820818226
2012,兴庆区,680812.0121843677,7,1.028183973655324
2012,西夏区,329307.99524088175,7,2.1256696166394775
2012,金凤区,282553.98585782154,5,1.769573338284441
2012,永宁县,218262.9884628305,11,5.039791710665258
2012,贺兰县,222979.98648252775,11,4.93317816254417
2012,灵武市,261673.9935922964,17,6.4966333744602105
2013,银川市,2079094.0232118207,168,8.080442641091848
2013,兴庆区,707575.9885355791,17,2.402568808925204
2013,西夏区,343520.9843912458,22,6.404266696832579
2013,金凤区,294746.0109521082,14,4.74985223880597
2013,永宁县,227678.01459075767,22,9.662768730456534
2013,贺兰县,232604.00109542685,24,10.31796524865189
2013,灵武市,272968.9836025327,69,25.27759714285715
2014,银川市,2117160.0192228793,461,21.77445237083278
2014,兴庆区,720529.9630417129,84,11.658085618729096
2014,西夏区,349810.992597143,67,19.153200276115967
2014,金凤区,300141.99940880464,38,12.660673972602739
2014,永宁县,231847.01470355238,74,31.91759880739416
2014,贺兰县,236862.98239969547,35,14.776475262368814
2014,灵武市,277966.9902064366,163,58.640056461001166
2015,银川市,2140576.1856299257,483,22.564018194842408
2015,兴庆区,728688.921821336,52,7.136104096385542
2015,西夏区,353529.0409281711,82,23.194699870967746
2015,金凤区,303403.0261321508,29,9.558243492063493
2015,永宁县,234474.94952682467,133,56.722477291666664
2015,贺兰县,239520.95808383232,65,27.137500000000003
2015,灵武市,280959.0582355002,122,43.42269680365296
2016,银川市,2164199.558882232,378,17.466041818954526
2016,兴庆区,736480.9375098167,45,6.110137779282329
2016,西夏区,357493.0626912466,43,12.028205436013591
2016,金凤区,306805.0261615517,34,11.081956650246306
2016,永宁县,237104.025798834,59,24.88359267676768
2016,贺兰县,242206.96812211585,58,23.946462172284644
2016,灵武市,284110.0025050559,139,48.92471182795699
2017,银川市,2191099.7643732843,299,13.646115291583829
2017,兴庆区,745634.9708889821,34,4.559871965160587
2017,西夏区,361935.94545001275,59,16.30122698275862
2017,金凤区,310619.02141124033,41,13.199449220374223
2017,永宁县,240050.01329773458,47,19.579253237410068
2017,贺兰县,245218.9820553864,53,21.61333496932515
2017,灵武市,287640.94986464636,65,22.59761693548387
2018,银川市,2225389.8458870556,317,14.244695174909529
2018,兴庆区,757304.0120938611,54,7.130557759848126
2018,西夏区,367600.0368494441,34,9.24918296836983
2018,金凤区,315481.01540359156,39,12.36207508401344
2018,永宁县,243807.0152863873,50,20.508023504273503
2018,贺兰县,249055.99742909937,70,28.106129032258064
2018,灵武市,292142.09031228325,70,23.960943089430895
2019,银川市,2250197.782112313,359,15.954153135063457
2019,兴庆区,757172.8793990255,35,4.622458219552158
2019,西夏区,362977.070272178,60,16.529969773299744
2019,金凤区,327200.0239650343,55,16.809289722386293
2019,永宁县,243588.95367081388,43,17.652688823529413
2019,贺兰县,264264.9810539058,80,30.272645161290324
2019,灵武市,294993.924642806,86,29.15314276527331
2020,银川市,2293096.5837783567,586,25.554963717857984
2020,兴庆区,755446.8966490534,45,5.95673901098901
2020,西夏区,362823.93704532407,74,20.395567228177644
2020,金凤区,369299.00226977986,79,21.39188016064257
2020,永宁县,245570.0006678391,154,62.71124305949009
2020,贺兰县,263842.9447764067,119,45.102589383561636
2020,灵武市,296112.9214697305,115,38.8365355450237
2021,银川市,2859066.0238153185,697,24.37859056748466
2021,兴庆区,808280.0471666458,87,10.763596145292812
2021,西夏区,449556.0279311526,91,20.242193263157894
2021,金凤区,643952.9642243314,106,16.46082957746479
2021,永宁县,321614.14683204825,83,25.807322475570032
2021,贺兰县,341505.03130048845,178,52.122218909090904
2021,灵武市,294156.93033727875,152,51.67309837837838
